id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
naBs60L4/,naBs60L451,51,38,"Goal!  Villarreal 1, Real Madrid 1. Gareth Bale (Real Madrid) right footed shot from very close range to the centre of the goal. Assisted by Daniel Carvajal.",1,12.0,2,Real Madrid,Villarreal,gareth bale,daniel carvajal,,,5.0,1.0,1,13.0,1.0,1,1.0,0
nyyOdjqp/,nyyOdjqp10,10,13,"Goal!  Real Madrid 1, FC Sevilla 0. Gareth Bale (Real Madrid) left footed shot from the centre of the box to the top left corner. Assisted by Karim Benzema.",1,12.0,1,Real Madrid,Sevilla,gareth bale,karim benzema,,,12.0,1.0,1,3.0,2.0,1,1.0,0
nyyOdjqp/,nyyOdjqp32,32,27,"Goal!  Real Madrid 2, FC Sevilla 0. Gareth Bale (Real Madrid) from a free kick with a left footed shot to the bottom left corner.",1,,1,Real Madrid,Sevilla,gareth bale,,,,3.0,1.0,1,19.0,2.0,0,4.0,0
IwfTGWiD/,IwfTGWiD82,82,72,"Goal!  AlmerA­a 0, Real Madrid 3. Gareth Bale (Real Madrid) left footed shot from the centre of the box to the bottom left corner.",1,,2,Real Madrid,Almeria,gareth bale,,,,3.0,1.0,1,3.0,2.0,0,1.0,0
v7NAT9yJ/,v7NAT9yJ32,32,33,"Goal!  Real Madrid 1, Real Valladolid 0. Gareth Bale (Real Madrid) header from the centre of the box to the centre of the goal.",1,,1,Real Madrid,Real Valladolid,gareth bale,,,,5.0,1.0,1,3.0,3.0,0,1.0,0
v7NAT9yJ/,v7NAT9yJ55,55,64,"Goal!  Real Madrid 3, Real Valladolid 0. Gareth Bale (Real Madrid) right footed shot from the centre of the box to the centre of the goal.",1,,1,Real Madrid,Real Valladolid,gareth bale,,,,5.0,1.0,1,3.0,1.0,0,1.0,0
v7NAT9yJ/,v7NAT9yJ84,84,89,"Goal!  Real Madrid 4, Real Valladolid 0. Gareth Bale (Real Madrid) left footed shot from very close range to the bottom right corner. Assisted by Marcelo following a fast break.",1,12.0,1,Real Madrid,Real Valladolid,gareth bale,marcelo,,,4.0,1.0,1,13.0,2.0,1,1.0,1
fim0OHfF/,fim0OHfF25,25,25,"Goal!  Real Betis 0, Real Madrid 2. Gareth Bale (Real Madrid) from a free kick with a left footed shot to the centre of the goal.",1,,2,Real Madrid,Real Betis,gareth bale,,,,5.0,1.0,1,19.0,2.0,0,4.0,0
Qu3xSBI4/,Qu3xSBI44,4,7,"Goal!  Real Madrid 1, Villarreal 0. Gareth Bale (Real Madrid) left footed shot from the centre of the box to the bottom left corner.",1,,1,Real Madrid,Villarreal,gareth bale,,,,3.0,1.0,1,3.0,2.0,0,1.0,0
A5pNZaGr/,A5pNZaGr80,80,71,"Goal!  Real Madrid 2, Elche 0. Gareth Bale (Real Madrid) left footed shot from outside the box to the top right corner. Assisted by Xabi Alonso.",1,12.0,1,Real Madrid,Elche,gareth bale,xabi alonso,,,13.0,1.0,1,15.0,2.0,1,1.0,0
fD8cUbud/,fD8cUbud72,72,68,"Goal!  Real Madrid 3, Rayo Vallecano 0. Gareth Bale (Real Madrid) left footed shot from very close range to the centre of the goal. Assisted by Angel Di MarA­a.",1,12.0,1,Real Madrid,Rayo Vallecano,gareth bale,angel di maria,,,5.0,1.0,1,13.0,2.0,1,1.0,0
fD8cUbud/,fD8cUbud77,77,70,"Goal!  Real Madrid 4, Rayo Vallecano 0. Gareth Bale (Real Madrid) left footed shot from outside the box to the bottom left corner. Assisted by Pepe following a fast break.",1,12.0,1,Real Madrid,Rayo Vallecano,gareth bale,pepe,,,3.0,1.0,1,15.0,2.0,1,1.0,1
trnvsxP1/,trnvsxP181,81,66,"Goal!  Real Sociedad 0, Real Madrid 2. Gareth Bale (Real Madrid) left footed shot from outside the box to the bottom left corner.",1,,2,Real Madrid,Real Sociedad,gareth bale,,,,3.0,1.0,1,15.0,2.0,0,1.0,0
