id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
naBs60L4/,naBs60L451,51,38,"Goal!  Villarreal 1, Real Madrid 1. Gareth Bale (Real Madrid) right footed shot from very close range to the centre of the goal. Assisted by Daniel Carvajal.",1,12.0,2,Real Madrid,Villarreal,gareth bale,daniel carvajal,,,5.0,1.0,1,13.0,1.0,1,1.0,0
naBs60L4/,naBs60L461,61,48,Attempt missed. Gareth Bale (Real Madrid) left footed shot from outside the box is just a bit too high. Assisted by Luka Modric.,1,12.0,2,Real Madrid,Villarreal,gareth bale,luka modric,,,1.0,2.0,0,15.0,2.0,1,1.0,0
6s7AQR2l/,6s7AQR2l84,84,65,Attempt saved. Gareth Bale (Real Madrid) left footed shot from outside the box is saved in the bottom right corner. Assisted by Isco.,1,12.0,1,Real Madrid,Atletico Madrid,gareth bale,isco,,,4.0,1.0,0,15.0,2.0,1,1.0,0
6s7AQR2l/,6s7AQR2l126,126,90,"Attempt missed. Gareth Bale (Real Madrid) right footed shot from the left side of the six yard box is close, but misses to the left.",1,,1,Real Madrid,Atletico Madrid,gareth bale,,,,8.0,2.0,0,10.0,1.0,0,1.0,0
MRhH0apI/,MRhH0apI15,15,15,Attempt missed. Gareth Bale (Real Madrid) left footed shot from outside the box is too high.,1,,2,Real Madrid,Barcelona,gareth bale,,,,10.0,2.0,0,15.0,2.0,0,1.0,0
MRhH0apI/,MRhH0apI23,23,26,Attempt missed. Gareth Bale (Real Madrid) left footed shot from outside the box is high and wide to the left. Assisted by Sami Khedira.,1,12.0,2,Real Madrid,Barcelona,gareth bale,sami khedira,,,6.0,2.0,0,15.0,2.0,1,1.0,0
nyyOdjqp/,nyyOdjqp10,10,13,"Goal!  Real Madrid 1, FC Sevilla 0. Gareth Bale (Real Madrid) left footed shot from the centre of the box to the top left corner. Assisted by Karim Benzema.",1,12.0,1,Real Madrid,Sevilla,gareth bale,karim benzema,,,12.0,1.0,1,3.0,2.0,1,1.0,0
nyyOdjqp/,nyyOdjqp15,15,17,Attempt saved. Gareth Bale (Real Madrid) left footed shot from the right side of the box is saved in the bottom left corner. Assisted by Karim Benzema.,1,12.0,1,Real Madrid,Sevilla,gareth bale,karim benzema,,,3.0,1.0,0,11.0,2.0,1,1.0,0
nyyOdjqp/,nyyOdjqp19,19,21,Attempt missed. Gareth Bale (Real Madrid) left footed shot from the right side of the box is just a bit too high. Assisted by Karim Benzema.,1,12.0,1,Real Madrid,Sevilla,gareth bale,karim benzema,,,1.0,2.0,0,11.0,2.0,1,1.0,0
nyyOdjqp/,nyyOdjqp32,32,27,"Goal!  Real Madrid 2, FC Sevilla 0. Gareth Bale (Real Madrid) from a free kick with a left footed shot to the bottom left corner.",1,,1,Real Madrid,Sevilla,gareth bale,,,,3.0,1.0,1,19.0,2.0,0,4.0,0
vTWs5Zh1/,vTWs5Zh135,35,31,"Attempt missed. Gareth Bale (Real Madrid) left footed shot from the right side of the box is close, but misses to the right. Assisted by Luka Modric.",1,12.0,1,Real Madrid,Real Sociedad,gareth bale,luka modric,,,9.0,2.0,0,11.0,2.0,1,1.0,0
vTWs5Zh1/,vTWs5Zh142,42,45,"Attempt missed. Gareth Bale (Real Madrid) header from the centre of the box is close, but misses to the left. Assisted by Alvaro Arbeloa with a cross.",1,12.0,1,Real Madrid,Real Sociedad,gareth bale,alvaro arbeloa,,,8.0,2.0,0,3.0,3.0,2,1.0,0
vTWs5Zh1/,vTWs5Zh168,68,69,Attempt missed. Gareth Bale (Real Madrid) with an attempt from the centre of the box misses to the right. Assisted by Xabi Alonso with a cross following a set piece situation.,1,12.0,1,Real Madrid,Real Sociedad,gareth bale,xabi alonso,,,9.0,2.0,0,3.0,1.0,2,2.0,0
IwfTGWiD/,IwfTGWiD13,13,11,Attempt missed. Gareth Bale (Real Madrid) left footed shot from outside the box is too high from a direct free kick.,1,,2,Real Madrid,Almeria,gareth bale,,,,10.0,2.0,0,15.0,2.0,0,4.0,0
IwfTGWiD/,IwfTGWiD24,24,18,Attempt missed. Gareth Bale (Real Madrid) left footed shot from outside the box misses to the left.,1,,2,Real Madrid,Almeria,gareth bale,,,,8.0,2.0,0,15.0,2.0,0,1.0,0
IwfTGWiD/,IwfTGWiD27,27,22,Attempt missed. Gareth Bale (Real Madrid) left footed shot from more than 35 yards is too high.,1,,2,Real Madrid,Almeria,gareth bale,,,,10.0,2.0,0,17.0,2.0,0,1.0,0
