id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
C88uY13B/,C88uY13B25,25,15,Attempt saved. Karim Benzema (Real Madrid) left footed shot from the left side of the box is saved in the bottom left corner. Assisted by Mesut Ozil with a through ball.,1,12,2,Real Madrid,Real Zaragoza,karim benzema,mesut ozil,,,3,1,0,9,2,4,1,0
C88uY13B/,C88uY13B50,50,36,"Attempt missed. Karim Benzema (Real Madrid) left footed shot from the left side of the box is close, but misses to the left. Assisted by Mesut Ozil with a through ball.",1,12,2,Real Madrid,Real Zaragoza,karim benzema,mesut ozil,,,8,2,0,9,2,4,1,0
C88uY13B/,C88uY13B60,60,42,Attempt missed. Karim Benzema (Real Madrid) left footed shot from the centre of the box is high and wide to the left. Assisted by Pepe with a headed pass following a set piece situation.,1,12,2,Real Madrid,Real Zaragoza,karim benzema,pepe,,,6,2,0,3,2,3,2,0
C88uY13B/,C88uY13B79,79,54,Attempt saved. Karim Benzema (Real Madrid) right footed shot from the centre of the box is saved in the bottom left corner.,1,,2,Real Madrid,Real Zaragoza,karim benzema,,,,3,1,0,3,1,0,1,0
C88uY13B/,C88uY13B98,98,65,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from outside the box is blocked. Assisted by Marcelo.,1,12,2,Real Madrid,Real Zaragoza,karim benzema,marcelo,,,2,3,0,15,1,1,1,0
bBByVmEG/,bBByVmEG17,17,14,"Goal!  Real Madrid 1, Getafe 0. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the top right corner. Assisted by Mesut Ozil.",1,12,1,Real Madrid,Getafe,karim benzema,mesut ozil,,,13,1,1,3,1,1,1,0
bBByVmEG/,bBByVmEG75,75,69,"Goal!  Real Madrid 3, Getafe 1. Karim Benzema (Real Madrid) right footed shot from the right side of the box to the bottom right corner. Assisted by Cristiano Ronaldo with a through ball following a fast break.",1,12,1,Real Madrid,Getafe,karim benzema,cristiano ronaldo,,,4,1,1,11,1,4,1,1
zRBvsoDS/,zRBvsoDS23,23,23,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from the centre of the box is blocked. Assisted by FA¡bio CoentrA£o.,1,12,2,Real Madrid,Levante,karim benzema,fabio coentrao,,,2,3,0,3,1,1,1,0
zRBvsoDS/,zRBvsoDS41,41,34,Attempt missed. Karim Benzema (Real Madrid) left footed shot from outside the box is too high.,1,,2,Real Madrid,Levante,karim benzema,,,,10,2,0,15,2,0,1,0
ID5ukOkq/,ID5ukOkq48,48,43,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from the left side of the box is blocked. Assisted by JosA© CallejA³n.,1,12,2,Real Madrid,Racing Santander,karim benzema,jose callejon,,,2,3,0,9,1,1,1,0
ID5ukOkq/,ID5ukOkq67,67,55,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from outside the box is blocked. Assisted by Angel Di MarA­a.,1,12,2,Real Madrid,Racing Santander,karim benzema,angel di maria,,,2,3,0,15,1,1,1,0
MXdukFe0/,MXdukFe096,96,73,"Goal!  Real Madrid 5, Rayo Vallecano 2. Karim Benzema (Real Madrid) right footed shot from outside the box to the bottom right corner. Assisted by Mesut Ozil.",1,12,1,Real Madrid,Rayo Vallecano,karim benzema,mesut ozil,,,4,1,1,15,1,1,1,0
tS8du8NA/,tS8du8NA4,4,4,"Attempt missed. Karim Benzema (Real Madrid) left footed shot from the centre of the box is close, but misses to the left. Assisted by Angel Di MarA­a with a through ball.",1,12,1,Real Madrid,Villarreal,karim benzema,angel di maria,,,8,2,0,3,2,4,1,0
tS8du8NA/,tS8du8NA7,7,5,"Goal!  Real Madrid 1, Villarreal 0. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the bottom left corner. Assisted by Angel Di MarA­a with a through ball.",1,12,1,Real Madrid,Villarreal,karim benzema,angel di maria,,,3,1,1,3,1,4,1,0
tS8du8NA/,tS8du8NA14,14,12,Attempt saved. Karim Benzema (Real Madrid) header from very close range is saved in the centre of the goal. Assisted by Cristiano Ronaldo with a cross.,1,12,1,Real Madrid,Villarreal,karim benzema,cristiano ronaldo,,,5,1,0,13,3,2,1,0
tS8du8NA/,tS8du8NA30,30,25,Attempt missed. Karim Benzema (Real Madrid) left footed shot from the left side of the box misses to the right. Assisted by Marcelo.,1,12,1,Real Madrid,Villarreal,karim benzema,marcelo,,,9,2,0,9,2,1,1,0
AJYrgIcR/,AJYrgIcR69,69,63,"Goal!  Real Madrid 6, Osasuna 1. Karim Benzema (Real Madrid) left footed shot from the centre of the box to the centre of the goal. Assisted by FA¡bio CoentrA£o with a cross.",1,12,1,Real Madrid,Osasuna,karim benzema,fabio coentrao,,,5,1,1,3,2,2,1,0
AJYrgIcR/,AJYrgIcR76,76,69,Attempt missed. Karim Benzema (Real Madrid) right footed shot from the left side of the box misses to the left. Assisted by JosA© CallejA³n.,1,12,1,Real Madrid,Osasuna,karim benzema,jose callejon,,,8,2,0,9,1,1,1,0
AJYrgIcR/,AJYrgIcR85,85,81,"Goal!  Real Madrid 7, Osasuna 1. Karim Benzema (Real Madrid) left footed shot from the centre of the box to the top right corner. Assisted by Alvaro Arbeloa with a through ball.",1,12,1,Real Madrid,Osasuna,karim benzema,alvaro arbeloa,,,13,1,1,3,2,4,1,0
KhAeigSt/,KhAeigSt6,6,6,Attempt missed. Karim Benzema (Real Madrid) right footed shot from the right side of the box is high and wide to the right. Assisted by Mesut Ozil.,1,12,1,Real Madrid,Atletico Madrid,karim benzema,mesut ozil,,,6,2,0,11,1,1,1,0
KhAeigSt/,KhAeigSt53,53,45,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from the centre of the box is blocked. Assisted by Marcelo.,1,12,1,Real Madrid,Atletico Madrid,karim benzema,marcelo,,,2,3,0,3,1,1,1,0
KhAeigSt/,KhAeigSt55,55,45,Attempt saved. Karim Benzema (Real Madrid) right footed shot from the right side of the box is saved in the bottom right corner. Assisted by Sami Khedira.,1,12,1,Real Madrid,Atletico Madrid,karim benzema,sami khedira,,,4,1,0,11,1,1,1,0
KhAeigSt/,KhAeigSt75,75,71,Attempt saved. Karim Benzema (Real Madrid) left footed shot from outside the box is saved in the centre of the goal. Assisted by Xabi Alonso.,1,12,1,Real Madrid,Atletico Madrid,karim benzema,xabi alonso,,,5,1,0,15,2,1,1,0
fwcihQIi/,fwcihQIi117,117,90,Attempt missed. Karim Benzema (Real Madrid) right footed shot from the centre of the box misses to the left. Assisted by Cristiano Ronaldo with a through ball.,1,12,2,Real Madrid,Sporting Gijon,karim benzema,cristiano ronaldo,,,8,2,0,3,1,4,1,0
vcixJMWd/,vcixJMWd8,8,9,Attempt saved. Karim Benzema (Real Madrid) left footed shot from the left side of the box is saved in the bottom right corner. Assisted by Angel Di MarA­a with a through ball.,1,12,2,Real Madrid,Sevilla,karim benzema,angel di maria,,,4,1,0,9,2,4,1,0
G0PUIgN7/,G0PUIgN733,33,37,Attempt saved. Karim Benzema (Real Madrid) right footed shot from outside the box is saved in the bottom left corner. Assisted by Lass Diarra.,1,12,2,Real Madrid,Mallorca,karim benzema,lass diarra,,,3,1,0,15,1,1,1,0
G0PUIgN7/,G0PUIgN748,48,51,Attempt missed. Karim Benzema (Real Madrid) right footed shot from the right side of the box is high and wide to the right. Assisted by Mesut Ozil.,1,12,2,Real Madrid,Mallorca,karim benzema,mesut ozil,,,6,2,0,11,1,1,1,0
G0PUIgN7/,G0PUIgN761,61,60,Attempt saved. Karim Benzema (Real Madrid) right footed shot from outside the box is saved in the centre of the goal. Assisted by Mesut Ozil.,1,12,2,Real Madrid,Mallorca,karim benzema,mesut ozil,,,5,1,0,15,1,1,1,0
G0PUIgN7/,G0PUIgN786,86,84,Attempt saved. Karim Benzema (Real Madrid) right footed shot from the centre of the box is saved in the centre of the goal.,1,,2,Real Madrid,Mallorca,karim benzema,,,,5,1,0,3,1,0,1,0
EVofMJoj/,EVofMJoj30,30,24,Attempt missed. Karim Benzema (Real Madrid) right footed shot from the centre of the box is too high. Assisted by Cristiano Ronaldo with a through ball.,1,12,1,Real Madrid,Athletic Bilbao,karim benzema,cristiano ronaldo,,,10,2,0,3,1,4,1,0
EVofMJoj/,EVofMJoj43,43,32,Attempt saved. Karim Benzema (Real Madrid) header from the left side of the six yard box is saved in the centre of the goal. Assisted by Sergio Ramos.,1,12,1,Real Madrid,Athletic Bilbao,karim benzema,sergio ramos,,,5,1,0,10,3,1,1,0
EVofMJoj/,EVofMJoj46,46,35,Attempt blocked. Karim Benzema (Real Madrid) left footed shot from outside the box is blocked. Assisted by KakA¡.,1,12,1,Real Madrid,Athletic Bilbao,karim benzema,kaka,,,2,3,0,15,2,1,1,0
EVofMJoj/,EVofMJoj49,49,37,Attempt saved. Karim Benzema (Real Madrid) right footed shot from outside the box is saved in the bottom left corner. Assisted by Marcelo.,1,12,1,Real Madrid,Athletic Bilbao,karim benzema,marcelo,,,3,1,0,15,1,1,1,0
8bb3nqcB/,8bb3nqcB7,7,7,Attempt missed. Karim Benzema (Real Madrid) header from the right side of the six yard box misses to the left. Assisted by Cristiano Ronaldo with a cross.,1,12,1,Real Madrid,Real Zaragoza,karim benzema,cristiano ronaldo,,,8,2,0,12,3,2,1,0
8bb3nqcB/,8bb3nqcB15,15,21,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from the centre of the box is blocked. Assisted by Mesut Ozil.,1,12,1,Real Madrid,Real Zaragoza,karim benzema,mesut ozil,,,2,3,0,3,1,1,1,0
l0O0aMtH/,l0O0aMtH62,62,57,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from outside the box is blocked. Assisted by Cristiano Ronaldo.,1,12,2,Real Madrid,Getafe,karim benzema,cristiano ronaldo,,,2,3,0,15,1,1,1,0
l0O0aMtH/,l0O0aMtH66,66,62,Attempt saved. Karim Benzema (Real Madrid) left footed shot from the centre of the box is saved in the centre of the goal. Assisted by Mesut Ozil with a through ball.,1,12,2,Real Madrid,Getafe,karim benzema,mesut ozil,,,5,1,0,3,2,4,1,0
l0O0aMtH/,l0O0aMtH72,72,66,Attempt missed. Karim Benzema (Real Madrid) right footed shot from the centre of the box is too high. Assisted by Cristiano Ronaldo with a cross.,1,12,2,Real Madrid,Getafe,karim benzema,cristiano ronaldo,,,10,2,0,3,1,2,1,0
jeV5wtMl/,jeV5wtMl1,1,2,Attempt missed. Karim Benzema (Real Madrid) left footed shot from outside the box is just a bit too high. Assisted by Mesut Ozil.,1,12,1,Real Madrid,Levante,karim benzema,mesut ozil,,,1,2,0,15,2,1,1,0
jeV5wtMl/,jeV5wtMl32,32,24,Attempt saved. Karim Benzema (Real Madrid) right footed shot from outside the box is saved in the bottom left corner. Assisted by Mesut Ozil.,1,12,1,Real Madrid,Levante,karim benzema,mesut ozil,,,3,1,0,15,1,1,1,0
jeV5wtMl/,jeV5wtMl82,82,66,"Goal!  Real Madrid 4, Levante 2. Karim Benzema (Real Madrid) right footed shot from the left side of the box to the bottom right corner. Assisted by Cristiano Ronaldo.",1,12,1,Real Madrid,Levante,karim benzema,cristiano ronaldo,,,4,1,1,9,1,1,1,0
YmW4jJ5f/,YmW4jJ5f25,25,27,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from the centre of the box is blocked. Assisted by Mesut Ozil with a cross.,1,12,1,Real Madrid,Racing Santander,karim benzema,mesut ozil,,,2,3,0,3,1,2,1,0
YmW4jJ5f/,YmW4jJ5f46,46,44,Attempt saved. Karim Benzema (Real Madrid) right footed shot from outside the box is saved in the bottom right corner. Assisted by Marcelo.,1,12,1,Real Madrid,Racing Santander,karim benzema,marcelo,,,4,1,0,15,1,1,1,0
YmW4jJ5f/,YmW4jJ5f52,52,45,"Goal!  Real Madrid 2, Racing 0. Karim Benzema (Real Madrid) left footed shot from a difficult angle on the left to the centre of the goal. Assisted by Xabi Alonso following a set piece situation.",1,12,1,Real Madrid,Racing Santander,karim benzema,xabi alonso,,,5,1,1,7,2,1,2,0
YmW4jJ5f/,YmW4jJ5f102,102,89,"Goal!  Real Madrid 4, Racing 0. Karim Benzema (Real Madrid) right footed shot from the right side of the box to the top right corner. Assisted by Sami Khedira.",1,12,1,Real Madrid,Racing Santander,karim benzema,sami khedira,,,13,1,1,11,1,1,1,0
E9YMTPgG/,E9YMTPgG1,1,2,Attempt saved. Karim Benzema (Real Madrid) right footed shot from the right side of the box is saved in the top right corner. Assisted by Lass Diarra with a cross.,1,12,1,Real Madrid,Malaga,karim benzema,lass diarra,,,13,1,0,11,1,2,1,0
