id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
C88uY13B/,C88uY13B40,40,24,"Goal!  Real Zaragoza 0, Real Madrid 1. Cristiano Ronaldo (Real Madrid) left footed shot from the centre of the box to the bottom right corner. Assisted by Mesut Ozil with a through ball following a fast break.",1,12.0,2,Real Madrid,Real Zaragoza,cristiano ronaldo,mesut ozil,,,4.0,1,1,3,2,4,1,1
C88uY13B/,C88uY13B108,108,71,"Goal!  Real Zaragoza 0, Real Madrid 4. Cristiano Ronaldo (Real Madrid) right footed shot from very close range to the centre of the goal. Assisted by Angel Di MarA­a following a fast break.",1,12.0,2,Real Madrid,Real Zaragoza,cristiano ronaldo,angel di maria,,,5.0,1,1,13,1,1,1,1
C88uY13B/,C88uY13B133,133,87,"Goal!  Real Zaragoza 0, Real Madrid 6. Cristiano Ronaldo (Real Madrid) right footed shot from very close range to the centre of the goal.",1,,2,Real Madrid,Real Zaragoza,cristiano ronaldo,,,,5.0,1,1,13,1,0,1,0
bBByVmEG/,bBByVmEG62,62,60,"Goal!  Real Madrid 2, Getafe 1. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Real Madrid,Getafe,cristiano ronaldo,,,,4.0,1,1,14,1,0,2,0
MXdukFe0/,MXdukFe043,43,37,"Goal!  Real Madrid 1, Rayo Vallecano 1. Cristiano Ronaldo (Real Madrid) left footed shot from the left side of the box to the centre of the goal. Assisted by KakA¡ following a fast break.",1,12.0,1,Real Madrid,Rayo Vallecano,cristiano ronaldo,kaka,,,5.0,1,1,9,2,1,1,1
MXdukFe0/,MXdukFe069,69,51,"Goal!  Real Madrid 3, Rayo Vallecano 1. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the top left corner.",1,,1,Real Madrid,Rayo Vallecano,cristiano ronaldo,,,,12.0,1,1,14,1,0,2,0
MXdukFe0/,MXdukFe0107,107,84,"Goal!  Real Madrid 6, Rayo Vallecano 2. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the high centre of the goal.",1,,1,Real Madrid,Rayo Vallecano,cristiano ronaldo,,,,,1,1,14,1,0,2,0
8AUBTUw5/,8AUBTUw514,14,23,"Goal!  MA¡laga 0, Real Madrid 2. Cristiano Ronaldo (Real Madrid) left footed shot from the centre of the box to the bottom right corner. Assisted by Angel Di MarA­a with a cross.",1,12.0,2,Real Madrid,Malaga,cristiano ronaldo,angel di maria,,,4.0,1,1,3,2,2,1,0
8AUBTUw5/,8AUBTUw519,19,28,"Goal!  MA¡laga 0, Real Madrid 3. Cristiano Ronaldo (Real Madrid) right footed shot from the centre of the box to the bottom left corner. Assisted by Xabi Alonso.",1,12.0,2,Real Madrid,Malaga,cristiano ronaldo,xabi alonso,,,3.0,1,1,3,1,1,1,0
8AUBTUw5/,8AUBTUw526,26,38,"Goal!  MA¡laga 0, Real Madrid 4. Cristiano Ronaldo (Real Madrid) right footed shot from very close range to the bottom left corner. Assisted by Sergio Ramos with a headed pass following a corner.",1,12.0,2,Real Madrid,Malaga,cristiano ronaldo,sergio ramos,,,3.0,1,1,13,1,3,3,0
AJYrgIcR/,AJYrgIcR26,26,23,"Goal!  Real Madrid 1, Osasuna 0. Cristiano Ronaldo (Real Madrid) header from the centre of the box to the centre of the goal. Assisted by Angel Di MarA­a with a cross.",1,12.0,1,Real Madrid,Osasuna,cristiano ronaldo,angel di maria,,,5.0,1,1,3,3,2,1,0
AJYrgIcR/,AJYrgIcR65,65,54,"Goal!  Real Madrid 4, Osasuna 1. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Real Madrid,Osasuna,cristiano ronaldo,,,,4.0,1,1,14,1,0,2,0
AJYrgIcR/,AJYrgIcR67,67,58,"Goal!  Real Madrid 5, Osasuna 1. Cristiano Ronaldo (Real Madrid) header from the centre of the box to the top left corner. Assisted by Alvaro Arbeloa with a cross.",1,12.0,1,Real Madrid,Osasuna,cristiano ronaldo,alvaro arbeloa,,,12.0,1,1,3,3,2,1,0
KhAeigSt/,KhAeigSt24,24,24,"Goal!  Real Madrid 1, AtlA©tico de Madrid 1. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Real Madrid,Atletico Madrid,cristiano ronaldo,,,,3.0,1,1,14,1,0,2,0
