id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
C88uY13B/,C88uY13B32,32,18,Attempt blocked. Cristiano Ronaldo (Real Madrid) left footed shot from the centre of the box is blocked. Assisted by Karim Benzema with a through ball.,1,12,2,Real Madrid,Real Zaragoza,cristiano ronaldo,karim benzema,,,2,3,0,3,2,4,1,0
C88uY13B/,C88uY13B37,37,22,Attempt saved. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box is saved in the bottom left corner.,1,,2,Real Madrid,Real Zaragoza,cristiano ronaldo,,,,3,1,0,15,1,0,1,0
C88uY13B/,C88uY13B40,40,24,"Goal!  Real Zaragoza 0, Real Madrid 1. Cristiano Ronaldo (Real Madrid) left footed shot from the centre of the box to the bottom right corner. Assisted by Mesut Ozil with a through ball following a fast break.",1,12,2,Real Madrid,Real Zaragoza,cristiano ronaldo,mesut ozil,,,4,1,1,3,2,4,1,1
C88uY13B/,C88uY13B44,44,26,Attempt blocked. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box is blocked.,1,,2,Real Madrid,Real Zaragoza,cristiano ronaldo,,,,2,3,0,15,1,0,1,0
C88uY13B/,C88uY13B47,47,32,"Attempt missed. Cristiano Ronaldo (Real Madrid) left footed shot from the centre of the box is close, but misses to the right. Assisted by Marcelo.",1,12,2,Real Madrid,Real Zaragoza,cristiano ronaldo,marcelo,,,9,2,0,3,2,1,1,0
C88uY13B/,C88uY13B55,55,39,Attempt saved. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box is saved in the centre of the goal. Assisted by Mesut Ozil.,1,12,2,Real Madrid,Real Zaragoza,cristiano ronaldo,mesut ozil,,,5,1,0,15,1,1,1,0
C88uY13B/,C88uY13B59,59,42,Attempt saved. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box is saved in the bottom left corner.,1,,2,Real Madrid,Real Zaragoza,cristiano ronaldo,,,,3,1,0,15,1,0,1,0
C88uY13B/,C88uY13B73,73,49,Attempt missed. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box misses to the right. Assisted by Mesut Ozil.,1,12,2,Real Madrid,Real Zaragoza,cristiano ronaldo,mesut ozil,,,9,2,0,15,1,1,1,0
C88uY13B/,C88uY13B74,74,52,Attempt saved. Cristiano Ronaldo (Real Madrid) left footed shot from outside the box is saved in the centre of the goal. Assisted by Angel Di MarA­a.,1,12,2,Real Madrid,Real Zaragoza,cristiano ronaldo,angel di maria,,,5,1,0,15,2,1,1,0
C88uY13B/,C88uY13B92,92,61,Attempt saved. Cristiano Ronaldo (Real Madrid) left footed shot from outside the box is saved in the bottom right corner. Assisted by Karim Benzema.,1,12,2,Real Madrid,Real Zaragoza,cristiano ronaldo,karim benzema,,,4,1,0,15,2,1,1,0
C88uY13B/,C88uY13B101,101,66,Attempt missed. Cristiano Ronaldo (Real Madrid) header from the centre of the box is too high. Assisted by Mesut Ozil with a cross following a corner.,1,12,2,Real Madrid,Real Zaragoza,cristiano ronaldo,mesut ozil,,,10,2,0,3,3,2,3,0
C88uY13B/,C88uY13B104,104,68,Attempt blocked. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box is blocked.,1,,2,Real Madrid,Real Zaragoza,cristiano ronaldo,,,,2,3,0,15,1,0,1,0
C88uY13B/,C88uY13B108,108,71,"Goal!  Real Zaragoza 0, Real Madrid 4. Cristiano Ronaldo (Real Madrid) right footed shot from very close range to the centre of the goal. Assisted by Angel Di MarA­a following a fast break.",1,12,2,Real Madrid,Real Zaragoza,cristiano ronaldo,angel di maria,,,5,1,1,13,1,1,1,1
C88uY13B/,C88uY13B116,116,77,Attempt blocked. Cristiano Ronaldo (Real Madrid) right footed shot from the left side of the box is blocked. Assisted by JosA© CallejA³n.,1,12,2,Real Madrid,Real Zaragoza,cristiano ronaldo,jose callejon,,,2,3,0,9,1,1,1,0
C88uY13B/,C88uY13B133,133,87,"Goal!  Real Zaragoza 0, Real Madrid 6. Cristiano Ronaldo (Real Madrid) right footed shot from very close range to the centre of the goal.",1,,2,Real Madrid,Real Zaragoza,cristiano ronaldo,,,,5,1,1,13,1,0,1,0
C88uY13B/,C88uY13B136,136,89,Attempt missed. Cristiano Ronaldo (Real Madrid) header from the centre of the box misses to the right. Assisted by JosA© CallejA³n with a cross following a corner.,1,12,2,Real Madrid,Real Zaragoza,cristiano ronaldo,jose callejon,,,9,2,0,3,3,2,3,0
bBByVmEG/,bBByVmEG1,1,3,Attempt missed. Cristiano Ronaldo (Real Madrid) right footed shot from the centre of the box misses to the left. Assisted by Karim Benzema.,1,12,1,Real Madrid,Getafe,cristiano ronaldo,karim benzema,,,8,2,0,3,1,1,1,0
bBByVmEG/,bBByVmEG10,10,10,Attempt saved. Cristiano Ronaldo (Real Madrid) header from the centre of the box is saved in the top centre of the goal. Assisted by Angel Di MarA­a with a cross.,1,12,1,Real Madrid,Getafe,cristiano ronaldo,angel di maria,,,11,1,0,3,3,2,1,0
