id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
C88uY13B/,C88uY13B11,11,9,Attempt saved. Mesut Ozil (Real Madrid) left footed shot from outside the box is saved in the bottom left corner. Assisted by Ricardo Carvalho with a through ball.,1,12.0,2,Real Madrid,Real Zaragoza,mesut ozil,ricardo carvalho,,,3.0,1.0,0,15.0,2.0,4,1.0,0
C88uY13B/,C88uY13B22,22,13,Attempt missed. Angel Di MarA­a (Real Madrid) left footed shot from outside the box misses to the right following a set piece situation.,1,,2,Real Madrid,Real Zaragoza,angel di maria,,,,9.0,2.0,0,15.0,2.0,0,2.0,0
C88uY13B/,C88uY13B25,25,15,Attempt saved. Karim Benzema (Real Madrid) left footed shot from the left side of the box is saved in the bottom left corner. Assisted by Mesut Ozil with a through ball.,1,12.0,2,Real Madrid,Real Zaragoza,karim benzema,mesut ozil,,,3.0,1.0,0,9.0,2.0,4,1.0,0
C88uY13B/,C88uY13B32,32,18,Attempt blocked. Cristiano Ronaldo (Real Madrid) left footed shot from the centre of the box is blocked. Assisted by Karim Benzema with a through ball.,1,12.0,2,Real Madrid,Real Zaragoza,cristiano ronaldo,karim benzema,,,2.0,3.0,0,3.0,2.0,4,1.0,0
C88uY13B/,C88uY13B33,33,18,Attempt missed. Angel Di MarA­a (Real Madrid) left footed shot from outside the box is high and wide to the left. Assisted by Xabi Alonso.,1,12.0,2,Real Madrid,Real Zaragoza,angel di maria,xabi alonso,,,6.0,2.0,0,15.0,2.0,1,1.0,0
C88uY13B/,C88uY13B37,37,22,Attempt saved. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box is saved in the bottom left corner.,1,,2,Real Madrid,Real Zaragoza,cristiano ronaldo,,,,3.0,1.0,0,15.0,1.0,0,1.0,0
C88uY13B/,C88uY13B40,40,24,"Goal!  Real Zaragoza 0, Real Madrid 1. Cristiano Ronaldo (Real Madrid) left footed shot from the centre of the box to the bottom right corner. Assisted by Mesut Ozil with a through ball following a fast break.",1,12.0,2,Real Madrid,Real Zaragoza,cristiano ronaldo,mesut ozil,,,4.0,1.0,1,3.0,2.0,4,1.0,1
C88uY13B/,C88uY13B44,44,26,Attempt blocked. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box is blocked.,1,,2,Real Madrid,Real Zaragoza,cristiano ronaldo,,,,2.0,3.0,0,15.0,1.0,0,1.0,0
C88uY13B/,C88uY13B46,46,28,"Goal!  Real Zaragoza 0, Real Madrid 2. Marcelo (Real Madrid) left footed shot from the centre of the box to the bottom right corner. Assisted by Sergio Ramos with a cross.",1,12.0,2,Real Madrid,Real Zaragoza,marcelo,sergio ramos,,,4.0,1.0,1,3.0,2.0,2,1.0,0
C88uY13B/,C88uY13B47,47,32,"Attempt missed. Cristiano Ronaldo (Real Madrid) left footed shot from the centre of the box is close, but misses to the right. Assisted by Marcelo.",1,12.0,2,Real Madrid,Real Zaragoza,cristiano ronaldo,marcelo,,,9.0,2.0,0,3.0,2.0,1,1.0,0
C88uY13B/,C88uY13B50,50,36,"Attempt missed. Karim Benzema (Real Madrid) left footed shot from the left side of the box is close, but misses to the left. Assisted by Mesut Ozil with a through ball.",1,12.0,2,Real Madrid,Real Zaragoza,karim benzema,mesut ozil,,,8.0,2.0,0,9.0,2.0,4,1.0,0
C88uY13B/,C88uY13B55,55,39,Attempt saved. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box is saved in the centre of the goal. Assisted by Mesut Ozil.,1,12.0,2,Real Madrid,Real Zaragoza,cristiano ronaldo,mesut ozil,,,5.0,1.0,0,15.0,1.0,1,1.0,0
C88uY13B/,C88uY13B59,59,42,Attempt saved. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box is saved in the bottom left corner.,1,,2,Real Madrid,Real Zaragoza,cristiano ronaldo,,,,3.0,1.0,0,15.0,1.0,0,1.0,0
C88uY13B/,C88uY13B60,60,42,Attempt missed. Karim Benzema (Real Madrid) left footed shot from the centre of the box is high and wide to the left. Assisted by Pepe with a headed pass following a set piece situation.,1,12.0,2,Real Madrid,Real Zaragoza,karim benzema,pepe,,,6.0,2.0,0,3.0,2.0,3,2.0,0
C88uY13B/,C88uY13B73,73,49,Attempt missed. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box misses to the right. Assisted by Mesut Ozil.,1,12.0,2,Real Madrid,Real Zaragoza,cristiano ronaldo,mesut ozil,,,9.0,2.0,0,15.0,1.0,1,1.0,0
C88uY13B/,C88uY13B74,74,52,Attempt saved. Cristiano Ronaldo (Real Madrid) left footed shot from outside the box is saved in the centre of the goal. Assisted by Angel Di MarA­a.,1,12.0,2,Real Madrid,Real Zaragoza,cristiano ronaldo,angel di maria,,,5.0,1.0,0,15.0,2.0,1,1.0,0
C88uY13B/,C88uY13B75,75,52,"Attempt missed. Angel Di MarA­a (Real Madrid) left footed shot from the centre of the box is close, but misses to the right.",1,,2,Real Madrid,Real Zaragoza,angel di maria,,,,9.0,2.0,0,3.0,2.0,0,1.0,0
C88uY13B/,C88uY13B79,79,54,Attempt saved. Karim Benzema (Real Madrid) right footed shot from the centre of the box is saved in the bottom left corner.,1,,2,Real Madrid,Real Zaragoza,karim benzema,,,,3.0,1.0,0,3.0,1.0,0,1.0,0
C88uY13B/,C88uY13B84,84,57,Attempt blocked. Marcelo (Real Madrid) left footed shot from the left side of the box is blocked.,1,,2,Real Madrid,Real Zaragoza,marcelo,,,,2.0,3.0,0,9.0,2.0,0,1.0,0
C88uY13B/,C88uY13B88,88,58,Attempt saved. FA¡bio CoentrA£o (Real Madrid) left footed shot from outside the box is saved in the top right corner.,1,,2,Real Madrid,Real Zaragoza,fabio coentrao,,,,13.0,1.0,0,15.0,2.0,0,1.0,0
C88uY13B/,C88uY13B92,92,61,Attempt saved. Cristiano Ronaldo (Real Madrid) left footed shot from outside the box is saved in the bottom right corner. Assisted by Karim Benzema.,1,12.0,2,Real Madrid,Real Zaragoza,cristiano ronaldo,karim benzema,,,4.0,1.0,0,15.0,2.0,1,1.0,0
C88uY13B/,C88uY13B95,95,62,Attempt missed. Xabi Alonso (Real Madrid) right footed shot from outside the box misses to the right from a direct free kick.,1,,2,Real Madrid,Real Zaragoza,xabi alonso,,,,9.0,2.0,0,15.0,1.0,0,4.0,0
C88uY13B/,C88uY13B96,96,64,Attempt blocked. Angel Di MarA­a (Real Madrid) left footed shot from the centre of the box is blocked.,1,,2,Real Madrid,Real Zaragoza,angel di maria,,,,2.0,3.0,0,3.0,2.0,0,1.0,0
C88uY13B/,C88uY13B97,97,64,"Goal!  Real Zaragoza 0, Real Madrid 3. Xabi Alonso (Real Madrid) right footed shot from outside the box to the bottom right corner.",1,,2,Real Madrid,Real Zaragoza,xabi alonso,,,,4.0,1.0,1,15.0,1.0,0,1.0,0
C88uY13B/,C88uY13B98,98,65,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from outside the box is blocked. Assisted by Marcelo.,1,12.0,2,Real Madrid,Real Zaragoza,karim benzema,marcelo,,,2.0,3.0,0,15.0,1.0,1,1.0,0
C88uY13B/,C88uY13B99,99,65,Attempt blocked. Angel Di MarA­a (Real Madrid) left footed shot from outside the box is blocked.,1,,2,Real Madrid,Real Zaragoza,angel di maria,,,,2.0,3.0,0,15.0,2.0,0,1.0,0
C88uY13B/,C88uY13B101,101,66,Attempt missed. Cristiano Ronaldo (Real Madrid) header from the centre of the box is too high. Assisted by Mesut Ozil with a cross following a corner.,1,12.0,2,Real Madrid,Real Zaragoza,cristiano ronaldo,mesut ozil,,,10.0,2.0,0,3.0,3.0,2,3.0,0
C88uY13B/,C88uY13B104,104,68,Attempt blocked. Cristiano Ronaldo (Real Madrid) right footed shot from outside the box is blocked.,1,,2,Real Madrid,Real Zaragoza,cristiano ronaldo,,,,2.0,3.0,0,15.0,1.0,0,1.0,0
